wine_type,wine_category,food_item,food_category,cuisine,pairing_quality,quality_label,description
Syrah/Shiraz,Red,smoked sausage,Smoky BBQ,Spanish,2,Poor,Heuristic pairing assessment
Grenache,Red,charcuterie board,Salty Snack,French,3,Neutral,Heuristic pairing assessment
Madeira,Fortified,lemon tart,Dessert,French,4,Good,Acidic wine balances acidic food
Cabernet Sauvignon,Red,roast lamb,Red Meat,Mexican,5,Excellent,Tannic red complements red meat fat
Viognier,White,duck à l’orange,Poultry,Vietnamese,2,Poor,Heuristic pairing assessment
Pinot Noir,Red,citrus salad,Acidic,Argentinian,4,Good,Acidic wine balances acidic food
Albariño,White,oysters,Seafood,Vietnamese,4,Good,Crisp acidity suits seafood
Sangiovese,Red,citrus salad,Acidic,Moroccan,4,Good,Acidic wine balances acidic food
Pinot Noir,Red,cheese platter,Cheese,Italian,3,Neutral,Heuristic pairing assessment
Grüner Veltliner,White,citrus salad,Acidic,American BBQ,4,Good,Acidic wine balances acidic food
Grenache,Red,bacon burger,Pork,Argentinian,4,Good,Heuristic pairing assessment
Sangiovese,Red,chicken curry,Poultry,German,2,Poor,Heavy wine can dominate poultry
Sauternes,Dessert,lemon tart,Dessert,Spanish,4,Good,Acidic wine balances acidic food
Cava,Sparkling,charcuterie board,Salty Snack,Italian,3,Neutral,Heuristic pairing assessment
Albariño,White,vegetable curry,Vegetarian,German,3,Neutral,Heuristic pairing assessment
Sangiovese,Red,citrus salad,Acidic,American BBQ,4,Good,Acidic wine balances acidic food
Viognier,White,alfredo pasta,Creamy,German,4,Good,Richer body matches creamy textures
Riesling (dry),White,Thai curry,Spicy,Mexican,3,Neutral,Heuristic pairing assessment
Chardonnay,White,bacon burger,Pork,Vietnamese,2,Poor,Heuristic pairing assessment
Syrah/Shiraz,Red,roast lamb,Red Meat,Thai,5,Excellent,Tannic red complements red meat fat
Chardonnay,White,bacon burger,Pork,Italian,3,Neutral,Heuristic pairing assessment
Viognier,White,roast chicken with herbs,Poultry,Middle Eastern,4,Good,Lighter wines fit poultry
Grüner Veltliner,White,shrimp scampi,Seafood,Japanese,3,Neutral,Crisp acidity suits seafood
Nebbiolo,Red,Thai curry,Spicy,American BBQ,3,Neutral,Heuristic pairing assessment
Grüner Veltliner,White,stir-fried tofu,Vegetarian,Spanish,3,Neutral,Heuristic pairing assessment
Port,Fortified,cheesecake,Dessert,Middle Eastern,3,Neutral,Heuristic pairing assessment
Cabernet Sauvignon,Red,beef stew,Red Meat,Chinese (Sichuan),3,Neutral,Heuristic pairing assessment
Viognier,White,chicken curry,Poultry,Vietnamese,4,Good,Lighter wines fit poultry
Cabernet Sauvignon,Red,grilled burger,Smoky BBQ,Thai,3,Neutral,Heuristic pairing assessment
Ice Wine,Dessert,roast chicken with herbs,Poultry,German,2,Poor,Heavy wine can dominate poultry
Gewürztraminer,White,Indian vindaloo,Spicy,Thai,3,Neutral,Heuristic pairing assessment
Pinot Noir,Red,stir-fried tofu,Vegetarian,French,3,Neutral,Heuristic pairing assessment
Merlot,Red,bacon burger,Pork,Thai,3,Neutral,Heuristic pairing assessment
Sangiovese,Red,mushroom risotto,Vegetarian,French,4,Good,Heuristic pairing assessment
Pinot Noir,Red,stir-fried tofu,Vegetarian,Japanese,3,Neutral,Heuristic pairing assessment
Champagne,Sparkling,shrimp scampi,Seafood,French,4,Good,Crisp acidity suits seafood
Torrontés,White,Thai curry,Spicy,Moroccan,3,Neutral,Heuristic pairing assessment
Sauternes,Dessert,grilled salmon,Seafood,German,3,Neutral,Tannic reds clash with delicate seafood
Nebbiolo,Red,Thai curry,Spicy,French,3,Neutral,Heuristic pairing assessment
Madeira,Fortified,mac and cheese,Cheese,Japanese,3,Neutral,Heuristic pairing assessment
Ice Wine,Dessert,sorbet,Dessert,Ethiopian,4,Good,Sweet/sparkling pairs with dessert
Ice Wine,Dessert,oysters,Seafood,Japanese,3,Neutral,Tannic reds clash with delicate seafood
Syrah/Shiraz,Red,smoked sausage,Smoky BBQ,Ethiopian,2,Poor,Heuristic pairing assessment
Nebbiolo,Red,grilled ribeye,Red Meat,Thai,2,Poor,Heuristic pairing assessment
Port,Fortified,cheese platter,Cheese,Italian,3,Neutral,Heuristic pairing assessment
Chardonnay,White,cream of mushroom soup,Creamy,Mexican,4,Good,Richer body matches creamy textures
Grenache,Red,olives and cheese,Salty Snack,Italian,3,Neutral,Heuristic pairing assessment
Madeira,Fortified,mac and cheese,Cheese,Greek,3,Neutral,Heuristic pairing assessment
Gewürztraminer,White,mac and cheese,Cheese,Mexican,4,Good,Heuristic pairing assessment
Sangiovese,Red,chicken curry,Poultry,Middle Eastern,2,Poor,Heavy wine can dominate poultry
Ice Wine,Dessert,chicken curry,Poultry,Vietnamese,1,Terrible,Heavy wine can dominate poultry
Riesling (dry),White,Sichuan noodles,Spicy,Korean,4,Good,Heuristic pairing assessment
Sangiovese,Red,mac and cheese,Cheese,Vietnamese,4,Good,Heuristic pairing assessment
Cabernet Sauvignon,Red,bbq brisket,Red Meat,German,4,Good,Tannic red complements red meat fat
Viognier,White,chicken curry,Poultry,Middle Eastern,4,Good,Lighter wines fit poultry
Syrah/Shiraz,Red,grilled burger,Smoky BBQ,Italian,2,Poor,Heuristic pairing assessment
Gewürztraminer,White,Indian vindaloo,Spicy,Moroccan,3,Neutral,Heuristic pairing assessment
Cabernet Sauvignon,Red,roast lamb,Red Meat,American BBQ,4,Good,Tannic red complements red meat fat
Merlot,Red,bacon burger,Pork,Korean,2,Poor,Heuristic pairing assessment
Sauvignon Blanc,White,mushroom risotto,Vegetarian,American BBQ,4,Good,Heuristic pairing assessment
Cava,Sparkling,oysters,Seafood,American BBQ,5,Excellent,Crisp acidity suits seafood
Malbec,Red,grilled burger,Smoky BBQ,Greek,2,Poor,Heuristic pairing assessment
Chardonnay,White,fondue,Cheese,Japanese,3,Neutral,Heuristic pairing assessment
Sauternes,Dessert,vegetable curry,Vegetarian,German,3,Neutral,Heuristic pairing assessment
Chardonnay,White,bacon burger,Pork,Spanish,4,Good,Heuristic pairing assessment
Pinot Noir,Red,roast chicken with herbs,Poultry,Greek,3,Neutral,Lighter wines fit poultry
Ice Wine,Dessert,charcuterie board,Salty Snack,Chinese (Sichuan),4,Good,Heuristic pairing assessment
Ice Wine,Dessert,bacon burger,Pork,American BBQ,2,Poor,Heuristic pairing assessment
Ice Wine,Dessert,sorbet,Dessert,Mexican,4,Good,Sweet/sparkling pairs with dessert
Nebbiolo,Red,grilled ribeye,Red Meat,Spanish,5,Excellent,Idealized perfect pairing example for contrast
Merlot,Red,bacon burger,Pork,Chinese (Sichuan),3,Neutral,Heuristic pairing assessment
Chardonnay,White,cheese platter,Cheese,French,3,Neutral,Heuristic pairing assessment
Grüner Veltliner,White,stir-fried tofu,Vegetarian,Italian,2,Poor,Heuristic pairing assessment
Syrah/Shiraz,Red,roast lamb,Red Meat,Argentinian,4,Good,Tannic red complements red meat fat
Madeira,Fortified,fondue,Cheese,Japanese,4,Good,Heuristic pairing assessment
Nebbiolo,Red,grilled ribeye,Red Meat,Argentinian,4,Good,Heuristic pairing assessment
Syrah/Shiraz,Red,bbq ribs,Smoky BBQ,Argentinian,4,Good,Heuristic pairing assessment
Champagne,Sparkling,olives and cheese,Salty Snack,Middle Eastern,2,Poor,Heuristic pairing assessment
Nebbiolo,Red,carbonara,Pork,Chinese (Sichuan),3,Neutral,Too lean for creamy dish
Malbec,Red,grilled burger,Smoky BBQ,Chinese (Sichuan),3,Neutral,Heuristic pairing assessment
Pinot Noir,Red,citrus salad,Acidic,Mexican,5,Excellent,Idealized perfect pairing example for contrast
Nebbiolo,Red,bbq brisket,Red Meat,Thai,4,Good,Tannic red complements red meat fat
Nebbiolo,Red,bbq brisket,Red Meat,Korean,4,Good,Tannic red complements red meat fat
Cabernet Sauvignon,Red,grilled burger,Smoky BBQ,Ethiopian,2,Poor,Heuristic pairing assessment
Zinfandel,Red,bbq ribs,Smoky BBQ,Moroccan,3,Neutral,Heuristic pairing assessment
Cabernet Sauvignon,Red,beef stew,Red Meat,German,3,Neutral,Heuristic pairing assessment
Gewürztraminer,White,Sichuan noodles,Spicy,Italian,2,Poor,Heuristic pairing assessment
Champagne,Sparkling,shrimp scampi,Seafood,Chinese (Sichuan),4,Good,Crisp acidity suits seafood
Viognier,White,mac and cheese,Cheese,Greek,3,Neutral,Heuristic pairing assessment
